words	frequency	left-entropy	right-entropy	combinality
标本 	 19 	 3.326360 	 1.021455 	 0 	 
评奖 	 19 	 3.321104 	 3.826875 	 0 	 
远离 	 19 	 3.321104 	 3.576618 	 0 	 
过得 	 19 	 3.321104 	 3.431624 	 0 	 
对今 	 19 	 3.321104 	 1.377963 	 0 	 
宣言 	 19 	 3.300559 	 1.983741 	 0 	 
按照国 	 19 	 3.300559 	 1.557432 	 0.0004789510891981092 	 
世人 	 19 	 3.286629 	 3.997670 	 0 	 
三分 	 19 	 3.281373 	 2.825846 	 0 	 
水土 	 19 	 3.281373 	 1.712095 	 0 	 
京广 	 19 	 3.281373 	 1.683240 	 0 	 
残疾人 	 19 	 3.260828 	 3.221097 	 5.04962600535905e-05 	 
乡下 	 19 	 3.260828 	 3.176110 	 0 	 
药的 	 19 	 3.221097 	 4.142664 	 0 	 
挖掘 	 19 	 3.221097 	 3.431624 	 0 	 
电讯 	 19 	 3.221097 	 2.886122 	 0 	 
的夫 	 19 	 3.221097 	 1.058277 	 0 	 
出境 	 19 	 3.215841 	 3.281373 	 0 	 
瞬 	 19 	 3.215841 	 1.058277 	 0 	 
半岛 	 19 	 3.195296 	 3.642150 	 0 	 
区委 	 19 	 3.195296 	 2.390864 	 0 	 
和物 	 19 	 3.181366 	 1.762702 	 0 	 
堂的 	 19 	 3.176110 	 3.892407 	 0 	 
会大 	 19 	 3.176110 	 3.471354 	 0 	 
定有 	 19 	 3.176110 	 3.405822 	 0 	 
学中 	 19 	 3.176110 	 3.366091 	 0 	 
入全 	 19 	 3.176110 	 3.070847 	 0 	 
在连 	 19 	 3.176110 	 1.889578 	 0 	 
清醒地 	 19 	 3.176110 	 1.021455 	 0.0005060369890476836 	 
看见 	 19 	 3.155565 	 3.281373 	 0 	 
城县 	 19 	 3.136379 	 3.681881 	 0 	 
赞扬 	 19 	 3.136379 	 2.774243 	 0 	 
次到 	 19 	 3.115834 	 4.142664 	 0 	 
定一 	 19 	 3.115834 	 3.531631 	 0 	 
医疗器械 	 19 	 3.115834 	 3.176110 	 0.00045768950601765004 	 
盗窃 	 19 	 3.115834 	 3.076103 	 0 	 
探明 	 19 	 3.115834 	 2.689525 	 0 	 
恶劣 	 19 	 3.115834 	 2.542329 	 0 	 
美人 	 19 	 3.115834 	 2.499544 	 0 	 
地体 	 19 	 3.115834 	 1.360527 	 0 	 
庄园 	 19 	 3.110578 	 2.774243 	 0 	 
花生 	 19 	 3.110578 	 2.752855 	 0 	 
北海 	 19 	 3.110578 	 2.610064 	 0 	 
的祖 	 19 	 3.110578 	 1.294995 	 0 	 
不讲 	 19 	 3.108376 	 3.681881 	 0 	 
苏州 	 19 	 3.108376 	 3.531631 	 0 	 
在乡 	 19 	 3.108376 	 3.176110 	 0 	 
股份制改造 	 19 	 3.108376 	 2.144024 	 0.0006383564162877751 	 
厂房 	 19 	 3.076103 	 1.994841 	 0 	 
体验 	 19 	 3.070847 	 3.176110 	 0 	 
洗衣 	 19 	 3.070847 	 2.437066 	 0 	 
贸易额 	 19 	 3.050302 	 4.037401 	 0.0004424218797976395 	 
晚年 	 19 	 3.050302 	 2.760314 	 0 	 
年级 	 19 	 3.050302 	 2.063203 	 0 	 
地里 	 19 	 3.031116 	 3.997670 	 0 	 
有进 	 19 	 3.031116 	 3.391893 	 0 	 
满载 	 19 	 3.010571 	 3.108376 	 0 	 
芯 	 19 	 3.010571 	 2.800045 	 0 	 
启发 	 19 	 3.010571 	 2.139836 	 0 	 
动手 	 19 	 3.005315 	 3.108376 	 0 	 
滑雪 	 19 	 3.003113 	 3.326360 	 0 	 
将开 	 19 	 3.003113 	 3.010571 	 0 	 
勇敢 	 19 	 3.003113 	 2.352348 	 0 	 
亟 	 19 	 2.984770 	 1.679823 	 0 	 
白的 	 19 	 2.965584 	 3.787144 	 0 	 
悄悄 	 19 	 2.965584 	 2.496127 	 0 	 
商人 	 19 	 2.963382 	 3.108376 	 0 	 
之不 	 19 	 2.963382 	 2.879506 	 0 	 
高压 	 19 	 2.931109 	 2.920597 	 0 	 
恪 	 19 	 2.920597 	 2.313460 	 0 	 
货币贬值 	 19 	 2.905308 	 3.221097 	 0.0005986040413519698 	 
卵 	 19 	 2.905308 	 2.437066 	 0 	 
热的 	 19 	 2.897849 	 4.142664 	 0 	 
寓 	 19 	 2.897849 	 3.511085 	 0 	 
部为 	 19 	 2.879506 	 4.247928 	 0 	 
这份 	 19 	 2.879506 	 4.142664 	 0 	 
俄国 	 19 	 2.879506 	 3.642150 	 0 	 
食用 	 19 	 2.879506 	 3.616349 	 0 	 
邱玲 	 19 	 2.879506 	 3.431624 	 0 	 
新发 	 19 	 2.865577 	 1.457425 	 0 	 
国军 	 19 	 2.860321 	 2.352348 	 0 	 
国副 	 19 	 2.860321 	 1.904279 	 0 	 
地举 	 19 	 2.860321 	 1.377963 	 0 	 
那位 	 19 	 2.858118 	 4.247928 	 0 	 
画面 	 19 	 2.858118 	 3.531631 	 0 	 
孟加拉 	 19 	 2.858118 	 1.105014 	 9.771280780806762e-05 	 
吉尼 	 19 	 2.858118 	 1.058277 	 0 	 
界对 	 19 	 2.839776 	 3.787144 	 0 	 
球场 	 19 	 2.839776 	 2.430595 	 0 	 
量与 	 19 	 2.825846 	 4.142664 	 0 	 
任中 	 19 	 2.825846 	 2.542329 	 0 	 
幼儿 	 19 	 2.825846 	 2.430595 	 0 	 
依法治国 	 19 	 2.820590 	 2.397335 	 0.0004820611612058891 	 
许可证 	 19 	 2.820590 	 2.034572 	 0.0005292777089603663 	 
余的 	 19 	 2.800045 	 4.142664 	 0 	 
土壤 	 19 	 2.792586 	 3.070847 	 0 	 
正好 	 19 	 2.774243 	 3.681881 	 0 	 
千多 	 19 	 2.760314 	 3.405822 	 0 	 
动不 	 19 	 2.760314 	 2.879506 	 0 	 
这儿 	 19 	 2.755058 	 3.300559 	 0 	 
楼的 	 19 	 2.687323 	 4.247928 	 0 	 
天还 	 19 	 2.687323 	 3.826875 	 0 	 
硝 	 19 	 2.687323 	 1.799016 	 0 	 
老汉 	 19 	 2.670340 	 3.932138 	 0 	 
套话 	 19 	 2.670340 	 2.774243 	 0 	 
早晨 	 19 	 2.670340 	 2.535858 	 0 	 
大马 	 19 	 2.655051 	 2.404793 	 0 	 
时尚 	 19 	 2.655051 	 1.983741 	 0 	 
首都各 	 19 	 2.655051 	 1.733483 	 0.0007187093676160529 	 
段和 	 19 	 2.647592 	 4.037401 	 0 	 
好像 	 19 	 2.641121 	 3.892407 	 0 	 
后者 	 19 	 2.641121 	 3.826875 	 0 	 
新区 	 19 	 2.641121 	 3.576618 	 0 	 
八百 	 19 	 2.641121 	 2.931109 	 0 	 
电费 	 19 	 2.641121 	 2.523986 	 0 	 
品是 	 19 	 2.629249 	 4.037401 	 0 	 
灯光 	 19 	 2.629249 	 3.616349 	 0 	 
希腊 	 19 	 2.629249 	 3.405822 	 0 	 
南和 	 19 	 2.629249 	 2.713124 	 0 	 
开阔 	 19 	 2.629249 	 2.649794 	 0 	 
业新 	 19 	 2.629249 	 2.629249 	 0 	 
定时 	 19 	 2.629249 	 2.268473 	 0 	 
缺的 	 19 	 2.615320 	 3.721612 	 0 	 
这片 	 19 	 2.610064 	 3.471354 	 0 	 
贫困村 	 19 	 2.589518 	 2.774243 	 0.0009130040479566318 	 
我对 	 19 	 2.570333 	 3.721612 	 0 	 
器材 	 19 	 2.570333 	 2.794789 	 0 	 
地经 	 19 	 2.563717 	 1.337245 	 0 	 
员为 	 19 	 2.535858 	 2.734512 	 0 	 
笑声 	 19 	 2.523986 	 2.390864 	 0 	 
排放 	 19 	 2.499544 	 3.511085 	 0 	 
下水 	 19 	 2.499544 	 3.326360 	 0 	 
差异 	 19 	 2.499544 	 2.390864 	 0 	 
在未 	 19 	 2.499544 	 1.716048 	 0 	 
上衣 	 19 	 2.497342 	 2.825846 	 0 	 
最先 	 19 	 2.497342 	 1.610785 	 0 	 
以民 	 19 	 2.497342 	 1.505521 	 0 	 
年仅 	 19 	 2.496127 	 2.499544 	 0 	 
的竹 	 19 	 2.496127 	 2.394281 	 0 	 
千户 	 19 	 2.496127 	 2.292072 	 0 	 
兢 	 19 	 2.484255 	 1.845218 	 0 	 
夏季 	 19 	 2.458454 	 3.326360 	 0 	 
坏了 	 19 	 2.397335 	 3.787144 	 0 	 
得实 	 19 	 2.394281 	 2.549787 	 0 	 
竹桥 	 19 	 2.394281 	 2.245099 	 0 	 
敌对 	 19 	 2.394281 	 1.610785 	 0 	 
时对 	 19 	 2.390864 	 4.247928 	 0 	 
家是 	 19 	 2.390864 	 3.892407 	 0 	 
要尽 	 19 	 2.390864 	 2.034572 	 0 	 
来为 	 19 	 2.373736 	 3.892407 	 0 	 
个厂 	 19 	 2.353191 	 3.826875 	 0 	 
业都 	 19 	 2.353191 	 3.681881 	 0 	 
人受 	 19 	 2.353191 	 1.505521 	 0 	 
源于 	 19 	 2.352348 	 4.142664 	 0 	 
行要 	 19 	 2.325331 	 3.892407 	 0 	 
国参 	 19 	 2.325331 	 1.824817 	 0 	 
个电 	 19 	 2.325331 	 1.824046 	 0 	 
婚礼 	 19 	 2.313460 	 2.499544 	 0 	 
得我 	 19 	 2.313460 	 2.245099 	 0 	 
暖湿气流 	 19 	 2.292072 	 1.957939 	 0.00017673691018756674 	 
切身 	 19 	 2.292072 	 1.021455 	 0 	 
国前 	 19 	 2.285601 	 2.858118 	 0 	 
们与 	 19 	 2.268473 	 4.142664 	 0 	 
疾苦 	 19 	 2.268473 	 2.208197 	 0 	 
兼顾 	 19 	 2.249287 	 3.221097 	 0 	 
优越 	 19 	 2.249287 	 1.733483 	 0 	 
格和 	 19 	 2.245870 	 4.142664 	 0 	 
撤军的 	 19 	 2.245870 	 3.536887 	 0.0004653515925095442 	 
绒 	 19 	 2.245870 	 3.108376 	 0 	 
李长水 	 19 	 2.245099 	 4.247928 	 0.0008496716725254769 	 
灵寿 	 19 	 2.245099 	 2.563717 	 0 	 
因地制宜 	 19 	 2.245099 	 2.078492 	 0.0009062467096851827 	 
紧密地 	 19 	 2.245099 	 1.442508 	 0.00041915288650306784 	 
们进 	 19 	 2.220068 	 2.194267 	 0 	 
个公 	 19 	 2.183755 	 1.337245 	 0 	 
楷 	 19 	 2.168466 	 1.952683 	 0 	 
土库曼斯坦 	 19 	 2.142664 	 3.366091 	 0.00034058115823379126 	 
害了 	 19 	 2.139836 	 4.037401 	 0 	 
该剧 	 19 	 2.139836 	 3.826875 	 0 	 
家与 	 19 	 2.139836 	 3.366091 	 0 	 
沂 	 19 	 2.139836 	 2.294274 	 0 	 
大雨 	 19 	 2.139836 	 1.163540 	 0 	 
们心 	 19 	 2.123479 	 2.641121 	 0 	 
需求量 	 19 	 2.114805 	 3.326360 	 0.0004705821681589923 	 
背景下 	 19 	 2.114805 	 1.442508 	 9.83065488277347e-05 	 
眼的 	 19 	 2.078492 	 3.892407 	 0 	 
常驻 	 19 	 2.078492 	 1.337245 	 0 	 
幢 	 19 	 2.075074 	 3.366091 	 0 	 
进工 	 19 	 2.063203 	 1.058277 	 0 	 
朗的 	 19 	 2.038761 	 3.642150 	 0 	 
胜一 	 19 	 2.034572 	 1.784315 	 0 	 
们深 	 19 	 2.030087 	 2.715327 	 0 	 
国南 	 19 	 2.030087 	 2.259799 	 0 	 
盛的 	 19 	 2.018216 	 4.037401 	 0 	 
或是 	 19 	 1.994841 	 4.142664 	 0 	 
尚美英 	 19 	 1.994841 	 3.681881 	 0.0002675792861966296 	 
间不 	 19 	 1.991571 	 3.681881 	 0 	 
我要 	 19 	 1.983741 	 4.037401 	 0 	 
陪同下 	 19 	 1.950481 	 1.773214 	 4.184460519558451e-05 	 
书记李 	 19 	 1.929309 	 3.721612 	 0.0009374039765267598 	 
年为 	 19 	 1.889578 	 3.221097 	 0 	 
年建 	 19 	 1.889578 	 2.610064 	 0 	 
纽带 	 19 	 1.889578 	 1.733483 	 0 	 
貌的 	 19 	 1.878478 	 3.997670 	 0 	 
再加 	 19 	 1.878478 	 2.390864 	 0 	 
学作 	 19 	 1.878478 	 2.076289 	 0 	 
作主 	 19 	 1.845218 	 2.458454 	 0 	 
民进 	 19 	 1.845218 	 2.353191 	 0 	 
比价 	 19 	 1.828234 	 3.431624 	 0 	 
谢里夫 	 19 	 1.824817 	 3.405822 	 0.00019282446448235565 	 
业性 	 19 	 1.824046 	 2.139836 	 0 	 
长阿 	 19 	 1.783247 	 3.300559 	 0 	 
家指 	 19 	 1.773214 	 1.337245 	 0 	 
房收 	 19 	 1.747413 	 1.021455 	 0 	 
萝卜 	 19 	 1.733483 	 1.683240 	 0 	 
叶利钦总统 	 19 	 1.716048 	 3.932138 	 0.0009959016036549114 	 
娇 	 19 	 1.716048 	 3.932138 	 0 	 
刘桥一矿 	 19 	 1.716048 	 3.642150 	 0.00042868101619963 	 
开赛 	 19 	 1.716048 	 3.471354 	 0 	 
热水器 	 19 	 1.716048 	 3.050302 	 0.00040020972063749917 	 
环球 	 19 	 1.716048 	 2.078492 	 0 	 
制片 	 19 	 1.716048 	 1.360527 	 0 	 
大意 	 19 	 1.716048 	 1.058277 	 0 	 
刘志祥 	 19 	 1.610785 	 3.997670 	 0.00045124317494697893 	 
记在 	 19 	 1.610785 	 3.050302 	 0 	 
琅 	 19 	 1.610785 	 1.628220 	 0 	 
定与 	 19 	 1.573789 	 3.281373 	 0 	 
工们 	 19 	 1.528802 	 3.787144 	 0 	 
美德 	 19 	 1.505521 	 1.878478 	 0 	 
有商 	 19 	 1.505521 	 1.163540 	 0 	 
里长 	 19 	 1.483226 	 2.497342 	 0 	 
此而 	 19 	 1.467458 	 4.142664 	 0 	 
军副 	 19 	 1.465790 	 1.192251 	 0 	 
级分 	 19 	 1.442508 	 3.892407 	 0 	 
期一 	 19 	 1.442508 	 2.689525 	 0 	 
之有 	 19 	 1.442508 	 1.163540 	 0 	 
条路 	 19 	 1.428795 	 3.221097 	 0 	 
国男 	 19 	 1.428795 	 2.038761 	 0 	 
术发 	 19 	 1.372707 	 1.337245 	 0 	 
家地 	 19 	 1.360527 	 1.888511 	 0 	 
务总 	 19 	 1.360527 	 1.610785 	 0 	 
衡的 	 19 	 1.337245 	 4.247928 	 0 	 
可分 	 19 	 1.337245 	 2.860321 	 0 	 
任人 	 19 	 1.337245 	 2.775603 	 0 	 
家发 	 19 	 1.337245 	 2.268473 	 0 	 
工生 	 19 	 1.337245 	 1.105014 	 0 	 
量高 	 19 	 1.337245 	 1.105014 	 0 	 
恩佐 	 19 	 1.323532 	 2.353191 	 0 	 
林市 	 19 	 1.294995 	 3.892407 	 0 	 
么一 	 19 	 1.267444 	 3.787144 	 0 	 
级工 	 19 	 1.244841 	 1.236386 	 0 	 
电局 	 19 	 1.236386 	 4.037401 	 0 	 
益为 	 19 	 1.236386 	 2.523986 	 0 	 
陈方安生 	 19 	 1.210810 	 3.642150 	 0.00037012684230770056 	 
面加 	 19 	 1.210810 	 1.893767 	 0 	 
担的 	 19 	 1.167437 	 4.142664 	 0 	 
入不 	 19 	 1.167437 	 3.076103 	 0 	 
南市 	 19 	 1.163540 	 3.932138 	 0 	 
近在 	 19 	 1.163540 	 3.826875 	 0 	 
届时 	 19 	 1.163540 	 2.879506 	 0 	 
挠 	 19 	 1.058277 	 3.787144 	 0 	 
容是 	 19 	 1.058277 	 3.326360 	 0 	 
方和 	 19 	 1.058277 	 2.905308 	 0 	 
现国 	 19 	 1.058277 	 2.292072 	 0 	 
开出 	 18 	 4.169925 	 3.794653 	 0 	 
人打 	 18 	 4.169925 	 3.725481 	 0 	 
了总 	 18 	 4.169925 	 3.572431 	 0 	 
固然 	 18 	 4.169925 	 3.530493 	 0 	 
中还 	 18 	 4.169925 	 3.302723 	 0 	 
的毛 	 18 	 4.169925 	 3.260785 	 0 	 
的微 	 18 	 4.169925 	 2.614369 	 0 	 
的某 	 18 	 4.169925 	 2.572431 	 0 	 
的邮 	 18 	 4.169925 	 2.258460 	 0 	 
的污 	 18 	 4.169925 	 1.768854 	 0 	 
交付 	 18 	 4.058814 	 3.794653 	 0 	 
的木 	 18 	 4.058814 	 3.725481 	 0 	 
了军 	 18 	 4.058814 	 3.461320 	 0 	 
到如 	 18 	 4.058814 	 3.239098 	 0 	 
的汉 	 18 	 4.058814 	 2.591793 	 0 	 
近万 	 18 	 4.058814 	 2.522620 	 0 	 
是东 	 18 	 4.058814 	 2.411509 	 0 	 
的约 	 18 	 4.058814 	 2.191612 	 0 	 
和整 	 18 	 4.058814 	 2.140518 	 0 	 
的举 	 18 	 4.058814 	 1.863826 	 0 	 
的试 	 18 	 4.058814 	 1.744843 	 0 	 
多达 	 18 	 4.058814 	 1.668839 	 0 	 
将要 	 18 	 3.947703 	 4.058814 	 0 	 
藤 	 18 	 3.947703 	 3.725481 	 0 	 
捐献 	 18 	 3.947703 	 3.461320 	 0 	 
去看 	 18 	 3.947703 	 3.350209 	 0 	 
在俄 	 18 	 3.947703 	 3.302723 	 0 	 
区分 	 18 	 3.947703 	 3.191612 	 0 	 
等十 	 18 	 3.947703 	 3.127987 	 0 	 
坠 	 18 	 3.947703 	 3.016876 	 0 	 
的引 	 18 	 3.947703 	 2.591793 	 0 	 
的私 	 18 	 3.947703 	 2.105411 	 0 	 
对东 	 18 	 3.947703 	 1.723308 	 0 	 
调整产 	 18 	 3.947703 	 1.000000 	 0.000997569733186357 	 
冻结 	 18 	 3.905765 	 3.530493 	 0 	 
宣告 	 18 	 3.905765 	 3.149673 	 0 	 
是金 	 18 	 3.905765 	 2.055828 	 0 	 
的笑 	 18 	 3.905765 	 2.044110 	 0 	 
曾是 	 18 	 3.836592 	 3.905765 	 0 	 
办得 	 18 	 3.836592 	 3.725481 	 0 	 
的史 	 18 	 3.836592 	 2.863826 	 0 	 
中已 	 18 	 3.836592 	 2.725481 	 0 	 
招商 	 18 	 3.836592 	 2.362740 	 0 	 
盯 	 18 	 3.836592 	 2.134970 	 0 	 
的骨 	 18 	 3.836592 	 1.722495 	 0 	 
僧 	 18 	 3.836592 	 1.680556 	 0 	 
和当 	 18 	 3.836592 	 1.500272 	 0 	 
上已 	 18 	 3.794653 	 3.614369 	 0 	 
来对 	 18 	 3.794653 	 2.969389 	 0 	 
说了 	 18 	 3.794653 	 2.967065 	 0 	 
了公 	 18 	 3.794653 	 2.885513 	 0 	 
衬 	 18 	 3.794653 	 2.591793 	 0 	 
的养 	 18 	 3.794653 	 2.504693 	 0 	 
谨慎 	 18 	 3.794653 	 1.949138 	 0 	 
的鼓 	 18 	 3.794653 	 1.927451 	 0 	 
源源不断 	 18 	 3.794653 	 1.386274 	 0.00040719324596405953 	 
哺 	 18 	 3.794653 	 1.335506 	 0 	 
治病 	 18 	 3.794653 	 1.275163 	 0 	 
特意 	 18 	 3.725481 	 3.836592 	 0 	 
的星 	 18 	 3.725481 	 3.197160 	 0 	 
独具 	 18 	 3.725481 	 2.821888 	 0 	 
是难 	 18 	 3.725481 	 2.209691 	 0 	 
则不 	 18 	 3.683542 	 3.836592 	 0 	 
分管 	 18 	 3.683542 	 3.683542 	 0 	 
异常 	 18 	 3.683542 	 3.683542 	 0 	 
空前 	 18 	 3.683542 	 3.572431 	 0 	 
荫 	 18 	 3.683542 	 3.461320 	 0 	 
极端 	 18 	 3.683542 	 3.281036 	 0 	 
是谁 	 18 	 3.683542 	 2.932999 	 0 	 
的侵 	 18 	 3.683542 	 2.705229 	 0 	 
运往 	 18 	 3.683542 	 2.473851 	 0 	 
导弹 	 18 	 3.683542 	 2.446617 	 0 	 
中要 	 18 	 3.683542 	 2.324409 	 0 	 
于实 	 18 	 3.683542 	 1.927451 	 0 	 
新币 	 18 	 3.683542 	 1.779950 	 0 	 
的跨 	 18 	 3.683542 	 1.462755 	 0 	 
未成 	 18 	 3.683542 	 1.097538 	 0 	 
中等 	 18 	 3.641604 	 3.836592 	 0 	 
分享 	 18 	 3.641604 	 3.392147 	 0 	 
背后 	 18 	 3.641604 	 3.350209 	 0 	 
拖延 	 18 	 3.614369 	 3.947703 	 0 	 
书面 	 18 	 3.614369 	 3.836592 	 0 	 
畅销 	 18 	 3.614369 	 3.260785 	 0 	 
拦 	 18 	 3.614369 	 3.197160 	 0 	 
在江 	 18 	 3.614369 	 3.086049 	 0 	 
和办 	 18 	 3.614369 	 2.324409 	 0 	 
复合 	 18 	 3.614369 	 2.281036 	 0 	 
纵横 	 18 	 3.614369 	 2.182456 	 0 	 
从自 	 18 	 3.614369 	 2.080501 	 0 	 
继续下 	 18 	 3.614369 	 1.875316 	 0.0006357694018449399 	 
的注 	 18 	 3.614369 	 1.863826 	 0 	 
局副 	 18 	 3.614369 	 1.335506 	 0 	 
记住 	 18 	 3.572431 	 3.078176 	 0 	 
提议 	 18 	 3.572431 	 2.836592 	 0 	 
就中 	 18 	 3.572431 	 2.768854 	 0 	 
ＡＴ 	 18 	 3.572431 	 1.875316 	 0 	 
已向 	 18 	 3.530493 	 3.683542 	 0 	 
春运 	 18 	 3.530493 	 3.614369 	 0 	 
人要 	 18 	 3.530493 	 3.524945 	 0 	 
股价 	 18 	 3.530493 	 3.524945 	 0 	 
刊物 	 18 	 3.530493 	 3.260785 	 0 	 
警卫 	 18 	 3.530493 	 3.239098 	 0 	 
坚守 	 18 	 3.530493 	 2.969389 	 0 	 
而进 	 18 	 3.530493 	 2.105411 	 0 	 
时就 	 18 	 3.524945 	 3.947703 	 0 	 
煤气 	 18 	 3.524945 	 3.419382 	 0 	 
宝贵的 	 18 	 3.503258 	 3.947703 	 0.00040038878538946224 	 
可望 	 18 	 3.503258 	 3.683542 	 0 	 
就更 	 18 	 3.503258 	 3.683542 	 0 	 
山乡 	 18 	 3.503258 	 3.614369 	 0 	 
跨越 	 18 	 3.503258 	 3.503258 	 0 	 
提速 	 18 	 3.503258 	 3.149673 	 0 	 
深深地 	 18 	 3.503258 	 3.086049 	 0.0008125660002831611 	 
崇高的 	 18 	 3.503258 	 3.086049 	 0.0006444540423151497 	 
炸弹 	 18 	 3.503258 	 2.584963 	 0 	 
大方 	 18 	 3.503258 	 2.411509 	 0 	 
喇 	 18 	 3.503258 	 2.060249 	 0 	 
亲戚 	 18 	 3.503258 	 2.055828 	 0 	 
于近 	 18 	 3.503258 	 1.838027 	 0 	 
多姿 	 18 	 3.503258 	 1.612197 	 0 	 
上层 	 18 	 3.503258 	 1.611383 	 0 	 
团组 	 18 	 3.503258 	 1.208649 	 0 	 
前辈 	 18 	 3.461320 	 3.683542 	 0 	 
学到 	 18 	 3.461320 	 3.503258 	 0 	 
铮 	 18 	 3.461320 	 2.814015 	 0 	 
对上 	 18 	 3.461320 	 2.599666 	 0 	 
在比 	 18 	 3.461320 	 2.362740 	 0 	 
进去 	 18 	 3.461320 	 1.944717 	 0 	 
社的 	 18 	 3.419382 	 4.058814 	 0 	 
大片 	 18 	 3.419382 	 3.836592 	 0 	 
吟 	 18 	 3.419382 	 3.377444 	 0 	 
预期 	 18 	 3.419382 	 3.149673 	 0 	 
马路 	 18 	 3.419382 	 3.080501 	 0 	 
是到 	 18 	 3.419382 	 3.078176 	 0 	 
将与 	 18 	 3.413834 	 4.058814 	 0 	 
未必 	 18 	 3.413834 	 3.836592 	 0 	 
几种 	 18 	 3.413834 	 3.725481 	 0 	 
多出 	 18 	 3.413834 	 3.683542 	 0 	 
清除 	 18 	 3.413834 	 3.572431 	 0 	 
轻轻 	 18 	 3.413834 	 3.503258 	 0 	 
是她 	 18 	 3.413834 	 3.419382 	 0 	 
疯 	 18 	 3.413834 	 2.191612 	 0 	 
成千 	 18 	 3.413834 	 1.386274 	 0 	 
躺 	 18 	 3.413834 	 1.275163 	 0 	 
上空 	 18 	 3.392147 	 3.905765 	 0 	 
一丝 	 18 	 3.392147 	 3.413834 	 0 	 
八路军 	 18 	 3.392147 	 3.086049 	 0.0005490125295188244 	 
为生 	 18 	 3.392147 	 2.821888 	 0 	 
永恒 	 18 	 3.392147 	 2.191612 	 0 	 
了适 	 18 	 3.392147 	 2.057924 	 0 	 
规模化 	 18 	 3.392147 	 1.668839 	 0.0008219072115105688 	 
禽流感 	 18 	 3.377444 	 3.086049 	 3.742453316028516e-05 	 
幽默 	 18 	 3.377444 	 3.086049 	 0 	 
烟的 	 18 	 3.350209 	 4.169925 	 0 	 
坛的 	 18 	 3.350209 	 4.058814 	 0 	 
生出 	 18 	 3.350209 	 3.794653 	 0 	 
摆在 	 18 	 3.350209 	 3.503258 	 0 	 
煤层气 	 18 	 3.350209 	 3.155222 	 0.00010206690861895951 	 
于公 	 18 	 3.350209 	 3.149673 	 0 	 
这笔 	 18 	 3.350209 	 2.969389 	 0 	 
穴 	 18 	 3.350209 	 2.879965 	 0 	 
给这 	 18 	 3.350209 	 2.705229 	 0 	 
摊位 	 18 	 3.350209 	 2.614369 	 0 	 
和医 	 18 	 3.350209 	 2.599666 	 0 	 
较长 	 18 	 3.350209 	 1.863826 	 0 	 
就得 	 18 	 3.308271 	 4.169925 	 0 	 
随即 	 18 	 3.308271 	 3.947703 	 0 	 
强队 	 18 	 3.308271 	 3.614369 	 0 	 
几家 	 18 	 3.302723 	 4.058814 	 0 	 
阅读 	 18 	 3.302723 	 3.461320 	 0 	 
北美 	 18 	 3.302723 	 3.419382 	 0 	 
楹联 	 18 	 3.302723 	 3.419382 	 0 	 
劳务 	 18 	 3.302723 	 3.392147 	 0 	 
四国 	 18 	 3.302723 	 3.302723 	 0 	 
分明 	 18 	 3.302723 	 3.044110 	 0 	 
新生 	 18 	 3.302723 	 2.927451 	 0 	 
离休 	 18 	 3.302723 	 2.794653 	 0 	 
侵略 	 18 	 3.302723 	 2.663291 	 0 	 
用工 	 18 	 3.302723 	 2.594118 	 0 	 
在张 	 18 	 3.302723 	 2.392147 	 0 	 
衔接 	 18 	 3.281036 	 2.863826 	 0 	 
脂 	 18 	 3.281036 	 2.855954 	 0 	 
到十 	 18 	 3.281036 	 2.552180 	 0 	 
希望有 	 18 	 3.281036 	 1.611383 	 0.00041005828199546895 	 
国所 	 18 	 3.266333 	 3.086049 	 0 	 
琢 	 18 	 3.266333 	 1.801637 	 0 	 
叠 	 18 	 3.260785 	 3.572431 	 0 	 
金钱 	 18 	 3.260785 	 3.530493 	 0 	 
分量 	 18 	 3.260785 	 2.473851 	 0 	 
馅 	 18 	 3.260785 	 2.216522 	 0 	 
会向 	 18 	 3.239098 	 3.836592 	 0 	 
昼夜 	 18 	 3.239098 	 3.683542 	 0 	 
拥护 	 18 	 3.239098 	 2.974938 	 0 	 
响起 	 18 	 3.239098 	 2.969389 	 0 	 
冬日 	 18 	 3.239098 	 2.663291 	 0 	 
为北 	 18 	 3.239098 	 1.949138 	 0 	 
尧 	 18 	 3.239098 	 1.680556 	 0 	 
漏洞 	 18 	 3.239098 	 1.497385 	 0 	 
少年儿童 	 18 	 3.197160 	 3.794653 	 0.0007655018146421964 	 
要和 	 18 	 3.197160 	 3.794653 	 0 	 
培养了 	 18 	 3.197160 	 3.302723 	 0.0003697687128037744 	 
缠 	 18 	 3.197160 	 3.191612 	 0 	 
了专 	 18 	 3.197160 	 2.863826 	 0 	 
水电 	 18 	 3.197160 	 2.821888 	 0 	 
痹 	 18 	 3.197160 	 2.744843 	 0 	 
肝 	 18 	 3.197160 	 2.549855 	 0 	 
的将 	 18 	 3.197160 	 2.461320 	 0 	 
李政道 	 18 	 3.197160 	 2.322085 	 0.00073380735354473 	 
的焦 	 18 	 3.197160 	 1.668839 	 0 	 
违法违 	 18 	 3.197160 	 1.052941 	 0.00018882378094507512 	 
里海 	 18 	 3.191612 	 3.413834 	 0 	 
首脑会晤 	 18 	 3.191612 	 2.591793 	 0.0006827738992352503 	 
进新 	 18 	 3.155222 	 3.016876 	 0 	 
