words	frequency	left-entropy	right-entropy	combinality
设 	 2910 	 3.573395 	 5.561368 	 0 	 
总 	 2908 	 7.045386 	 5.098330 	 0 	 
好 	 2899 	 6.225447 	 6.510639 	 0 	 
北 	 2893 	 5.335167 	 3.599957 	 0 	 
平 	 2891 	 5.024664 	 5.610923 	 0 	 
利 	 2873 	 6.445295 	 5.751023 	 0 	 
金 	 2851 	 6.059799 	 5.397829 	 0 	 
农 	 2846 	 6.546145 	 3.397813 	 0 	 
各 	 2830 	 6.271509 	 4.972291 	 0 	 
子 	 2817 	 6.307311 	 6.288550 	 0 	 
元 	 2813 	 3.702369 	 3.661778 	 0 	 
小 	 2791 	 6.451760 	 6.470909 	 0 	 
从 	 2764 	 5.718197 	 7.338520 	 0 	 
将 	 2763 	 7.240246 	 7.794897 	 0 	 
明 	 2740 	 5.835957 	 5.875503 	 0 	 
万 	 2716 	 2.950387 	 5.505204 	 0 	 
问 	 2702 	 6.291223 	 2.977346 	 0 	 
提 	 2655 	 6.936681 	 3.101569 	 0 	 
当 	 2652 	 5.550733 	 6.563049 	 0 	 
心 	 2651 	 5.842764 	 6.431382 	 0 	 
两 	 2648 	 6.501064 	 5.146325 	 0 	 
其 	 2646 	 4.961966 	 6.120679 	 0 	 
表 	 2630 	 5.953146 	 4.914357 	 0 	 
种 	 2626 	 4.557055 	 7.986009 	 0 	 
企业 	 2610 	 6.418113 	 6.503752 	 0 	 
工作 	 2607 	 7.204553 	 5.349623 	 0 	 
委 	 2597 	 5.765073 	 4.533548 	 0 	 
党 	 2581 	 6.406919 	 5.068740 	 0 	 
品 	 2573 	 4.169777 	 6.257570 	 0 	 
可 	 2555 	 6.349457 	 5.715797 	 0 	 
里 	 2551 	 6.343829 	 6.584995 	 0 	 
度 	 2535 	 4.551454 	 5.727982 	 0 	 
强 	 2501 	 5.169140 	 6.078456 	 0 	 
改 	 2478 	 6.434507 	 3.129231 	 0 	 
着 	 2460 	 7.531071 	 8.053516 	 0 	 
军 	 2452 	 6.730814 	 6.190803 	 0 	 
代 	 2446 	 5.219792 	 5.262581 	 0 	 
起 	 2441 	 6.818404 	 5.981227 	 0 	 
内 	 2437 	 6.217773 	 6.313697 	 0 	 
目 	 2416 	 5.047787 	 4.249616 	 0 	 
京 	 2413 	 2.537278 	 5.444046 	 0 	 
通 	 2394 	 6.337002 	 5.193887 	 0 	 
科 	 2391 	 6.703277 	 3.838602 	 0 	 
入 	 2365 	 4.748472 	 7.236557 	 0 	 
三 	 2363 	 5.945066 	 6.510331 	 0 	 
系 	 2363 	 3.764968 	 4.835874 	 0 	 
活 	 2361 	 5.479637 	 4.314057 	 0 	 
水 	 2360 	 7.403885 	 5.781517 	 0 	 
第 	 2354 	 5.459142 	 2.760281 	 0 	 
位 	 2346 	 4.404204 	 6.654029 	 0 	 
都 	 2343 	 6.871510 	 6.933630 	 0 	 
国家 	 2337 	 5.968039 	 6.774932 	 0 	 
导 	 2324 	 2.700645 	 5.974530 	 0 	 
次 	 2307 	 4.454914 	 7.087668 	 0 	 
题 	 2283 	 1.950942 	 4.296533 	 0 	 
特 	 2280 	 6.473915 	 5.084251 	 0 	 
道 	 2268 	 5.147041 	 4.716117 	 0 	 
所 	 2260 	 6.896374 	 6.671081 	 0 	 
世 	 2238 	 6.202679 	 2.591546 	 0 	 
向 	 2218 	 6.840493 	 7.468082 	 0 	 
去 	 2218 	 5.569548 	 4.535535 	 0 	 
领 	 2205 	 6.722979 	 2.622911 	 0 	 
